Make,Model,Year,Engine,Seating,Price
Suzuki,Cultus  VX (CNG),2004,1000,5,8
Suzuki,Cultus  VX (CNG),2004,1000,5,8
Suzuki,Margalla  GL,1994,1300,5,6.75
Honda,Civic  Oriel 1.8 i-VTEC CVT,2019,1800,5,44
Suzuki,Alto  VXR (CNG),2004,1000,4,4.9
Honda,City  ,2006,1300,5,13
Honda,Vezel  Hybrid Z Sensing ,2015,1500,5,43.5
Toyota,Vitz  F 1.0,2014,1000,5,24.9
DFSK,Glory 580  Pro,2021,1500,7,50.5
Toyota,Prius  S Touring Selection 1.8,2011,1800,5,35.2
Suzuki,Cultus  Euro II (CNG),2012,1000,5,11.25
MG,HS  1.5 Turbo,2021,1500,5,60.5
Toyota,Corolla  Altis 1.8,2010,1800,5,18
Honda,Vezel  Hybrid Z Sensing ,2017,1500,5,61.3
Honda,Civic Reborn VTi Oriel Prosmatec 1.8 i-VTEC,2008,1800,5,16.25
KIA,Stonic  ,2022,1400,5,47.5
Suzuki,Mehran  VXR Euro II,2018,796,4,13.2
Suzuki,Mehran  VXR,2011,800,4,10.5
Suzuki,Cultus  Limited Edition,2016,1000,5,16.75
Suzuki,Alto  ,2006,1000,4,7.1
Toyota,Land Cruiser 80 Series VX Limited 4.2D,1993,4200,7,28
Suzuki,Cultus  VXRi,2011,1000,5,10
Honda,City 5th Generation Aspire 1.5 i-VTEC,2013,1500,5,24.5
Honda,Civic  VTi Oriel 1.6,2004,1600,6,13.4
Honda,City  EXi S Automatic,2002,1500,5,11.8
Honda,Civic  1.5 VTEC Turbo Oriel,2022,1500,5,68.5
Suzuki,Spacia  X,2014,660,4,17.8
Suzuki,Mehran  VXR (CNG),2010,800,4,6.35
Suzuki,Cultus  Auto Gear Shift,2020,1000,5,28.7
Honda,City 5th Generation Aspire Prosmatec 1.5 i-VTEC,2014,1500,5,22.85
Toyota,Corolla  XLi VVTi,2015,1300,5,24.2
Changan,Alsvin  1.5L DCT Lumiere,2022,1500,5,38.2
Suzuki,Wagon R  VXL,2020,1000,5,23
Hyundai,Santro  Club GV,2006,1100,5,9.4
Toyota,Corolla  XLi VVTi,2010,1300,5,19
Toyota,Corolla  Altis X Automatic 1.6,2022,1600,5,43
Honda,Civic  1.8 i-VTEC CVT,2021,1800,5,51
Suzuki,Cultus  VXRi,2009,1000,5,11
Suzuki,Swift  GL CVT,2022,1200,5,38.5
Mercedes,Benz 240 Gd  ,1984,2400,5,16
Toyota,Corolla  GLi Automatic 1.6 VVTi,2013,1600,5,24.75
Suzuki,Wagon R  VXL,2018,1000,5,22.5
Honda,BR-V  i-VTEC S,2021,1500,7,49.5
Toyota,Corolla  GLi 1.3 VVTi,2010,1300,5,20.5
Suzuki,Wagon R  VXR,2016,1000,5,15
Suzuki,Ravi  ,2012,800,2,8.5
Honda,Vezel  Hybrid Z Sensing ,2016,1500,5,58
Haval,Jolion  Top,2021,1500,5,66
Honda,Vezel  Hybrid RS Sensing ,2019,1500,5,75
Honda,City  1.2L M/T,2021,1200,5,34.1
Suzuki,Mehran  VXR Euro II,2014,796,4,9
Suzuki,Swift  GLX CVT,2022,1200,5,39.25
Honda,Civic  Oriel 1.8 i-VTEC CVT,2017,1800,5,38.2
Suzuki,Swift  GLX CVT,2022,1200,5,37.9
Hyundai,Sonata  2.0,2022,2000,5,82.5
Suzuki,Cultus  VXR,2022,1000,5,28
Honda,Civic  VTi 1.6,1996,1600,6,8.25
Nissan,March  ,2007,1200,5,13.2
Peugeot,2008  Allure,2022,1300,5,59.99
Daihatsu,Hijet  ,2013,660,4,12.5
Toyota,Corolla  Altis Grande CVT-i 1.8,2018,1800,5,42.5
Honda,Civic  Oriel 1.8 i-VTEC CVT,2022,1800,5,60.6
Toyota,Passo  + Hana 1.0,2012,1000,5,21.7
Honda,Civic  EXi Prosmatec,2004,1500,5,12.75
Land,Rover Discovery  ,2006,2700,7,75
Nissan,Note  1.2E,2017,1198,5,39
Suzuki,Alto  VX,2022,660,4,20.5
Toyota,Hilux  Revo V Automatic 2.8,2021,2800,5,94.5
Toyota,Aqua  S,2012,1500,5,26.8
Suzuki,Ravi  ,2008,800,2,5.5
Toyota,Corolla  GLi 1.3 VVTi,2014,1300,5,25.5
Suzuki,Mehran  VX Euro II,2016,796,4,10.7
Suzuki,Ravi  PICKUP STD VX,1988,800,2,3.9
Honda,Civic EK VTi 1.6,1998,1600,6,11
Toyota,Corolla  XLi VVTi,2009,1300,5,19.5
Toyota,Corolla  GLi Limited Edition 1.3 VVTi,2011,1300,5,19
Toyota,Corolla  GLi 1.3 VVTi,2011,1300,5,22
Toyota,Corolla  GLi 1.3 VVTi,2018,1300,5,35
Toyota,Vitz  F 1.0,2011,1000,5,23
Nissan,Sunny  EX Saloon 1.3 (CNG),1997,1300,5,6.8
Suzuki,Cultus  VXR,2007,1000,5,7.4
Honda,City  1.3 i-VTEC,2009,1300,5,18.15
DFSK,Glory 580  Pro,2021,1500,7,52
Toyota,Corolla  GLi Automatic 1.6 VVTi,2012,1600,5,24.5
Honda,Civic Rebirth VTi Oriel Prosmatec 1.8 i-VTEC,2014,1800,5,28.95
Honda,Civic Reborn VTi Oriel 1.8 i-VTEC,2009,1800,5,22.15
Toyota,Rav4  G,2006,2400,5,42.5
Suzuki,Wagon R  VXL,2019,1000,5,19.8
Mitsubishi,Lancer  GLX 1.3,2008,1300,5,16
Toyota,Passo  X,2018,1000,5,30.75
Suzuki,Wagon R  VXR,2021,1000,5,20.9
Changan,Karvaan  Plus,2021,1000,8,19.95
Mitsubishi,Pajero  Exceed 3.5,1997,3500,7,28.5
Honda,Civic  VTi Oriel 1.6,1999,1600,6,15
Honda,Civic Eagle Eye VTi Oriel 1.6,2005,1600,6,12
Suzuki,Mehran  VXR,1992,800,4,3.65
Toyota,Corolla  XLi,2005,1300,5,12
Suzuki,Alto  VXR,2011,1000,4,9.8
Toyota,Corolla  Altis 1.8,2005,1800,5,18.5
Toyota,Corolla  ,2010,2000,5,18.75
Suzuki,Wagon R  VXL,2016,1000,5,17.85
Toyota,Aqua  S,2016,1500,5,36.8
Suzuki,Mehran  VX,2003,800,4,5.25
Toyota,Vitz  F 1.0,2011,1000,5,21.1
Suzuki,Cultus  VXRi,2010,1000,5,10.2
Suzuki,Mehran  ,2008,695,4,6
Honda,City  i-DSI,2003,1300,7,14
Honda,BR-V  i-VTEC,2017,1500,7,34.5
Daihatsu,Mira  X,2018,660,4,19.4
Daihatsu,Charade  ,1993,1000,4,2.6
Toyota,Corolla  GLi Limited Edition 1.3 VVTi,2013,1300,5,24.5
Toyota,Corolla  Altis Automatic 1.6,2022,1600,5,51
KIA,Sportage  Alpha,2022,2000,5,59.15
Toyota,Corolla  LX Limited 1.3,1994,1300,5,15.5
Suzuki,Wagon R  VXL,2018,1000,5,18.5
Toyota,Premio  G 2.0,2003,2000,5,26.5
Toyota,Corona  EX Saloon,1979,1600,5,7
Toyota,Aqua  ,2022,1500,5,50
Toyota,Vitz  F 1.0,2010,1000,5,20.3
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2020,1800,5,48.75
Honda,Civic  VTi Automatic 1.6,1996,1600,6,11.5
Suzuki,Baleno  GL,2003,1300,5,9.3
Suzuki,Cultus  VXR,2007,1000,5,8.5
Proton,X70  Premium FWD,2021,1500,5,70
KIA,Picanto  1.0 MT,2021,1000,5,25
Toyota,Raize  Z,2021,1000,5,55.5
Toyota,Corolla  Altis X Automatic 1.6,2022,1600,5,50.25
Honda,N Wgn  ,2015,660,5,20.99
Honda,Civic  1.5 VTEC Turbo Oriel,2017,1500,5,46
Mercedes,Benz C Class  C180,2006,1800,5,26.9
Toyota,Corolla  2.0D Saloon,2005,2000,5,14
Honda,Civic Rebirth VTi Oriel Prosmatec 1.8 i-VTEC,2014,1800,5,28
Honda,City  1.3 i-VTEC Prosmatec,2020,1300,5,36.25
Toyota,Yaris  GLI CVT 1.3,2021,1300,5,33.5
Toyota,Vitz  F 1.0,2011,1000,5,21.1
Honda,City 5th Generation 1.3 i-VTEC,2014,1300,5,23.25
Toyota,Corolla 9th Generation GLi 1.3,2006,1300,5,13.5
KIA,Sorento  2.4 AWD,2022,2400,7,84
Toyota,Passo  X,2013,1000,5,17.3
Honda,Civic  1.8 i-VTEC CVT,2016,1800,5,34.99
Mitsubishi,Pajero Mini  VR,1995,660,4,9
DFSK,Glory 580  Pro,2021,1500,7,50.5
Honda,Vezel  ,2014,1500,5,39.5
Toyota,Vitz  F 1.0,2010,1000,5,18.5
Mitsubishi,Lancer  ,2006,1500,5,10.5
Honda,Civic  RS,2022,1500,5,85.55
Honda,City  ,2004,1300,5,13.25
Peugeot,2008  Allure,2022,1200,5,61
Toyota,Passo  X,2012,1000,5,23
Toyota,Prado 90 Series TX 3.0D,1997,3000,7,43
Honda,Accord  VTi 2.4,2003,2400,5,24.5
Toyota,Aqua  S,2013,1500,5,27.5
Honda,Civic EG EX,1995,1500,5,7.2
Changan,Alsvin  1.5L DCT Lumiere,2022,1500,5,38.5
Suzuki,Cultus  Limited Edition,2017,1000,5,16.45
Honda,N One  Premium,2013,660,4,18.9
Suzuki,Alto  VXL AGS,2020,660,4,23.5
Toyota,Prius Alpha  S L Selection,2014,1800,5,46.9
Honda,City  EXi,2001,1300,5,11.75
Toyota,Corolla  SE Limited,1994,1600,5,13.75
KIA,Picanto  1.0 AT,2020,1000,5,24.5
Honda,City 5th Generation Aspire 1.3 i-VTEC,2012,1300,5,23
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2018,1800,5,43.3
Nissan,Sunny  EX Saloon 1.6,2010,1600,5,16
Suzuki,Cultus  Auto Gear Shift,2022,1000,5,33.5
Honda,City  1.5L ASPIRE CVT,2022,1500,7,46.3
Toyota,Corona  DX,1979,1600,5,7
Toyota,Land Cruiser 80 Series VX 4.2D,1994,4200,5,30
Suzuki,Bolan  VX Euro II,2017,800,5,11.3
Suzuki,Mehran  VX (CNG),2006,800,4,5.15
Toyota,Prius  ,2011,1500,5,26.9
Honda,City 5th Generation Aspire 1.5 i-VTEC,2017,1500,5,26.9
Suzuki,Alto  VXR,2022,660,4,21.7
Toyota,Prado 120 Series TX 2.7,2008,2700,7,79
Changan,Karvaan  Plus,2022,1000,8,23.8
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2022,1800,5,62
Toyota,Prado 120 Series TZ 3.0D,2004,3000,7,58
Toyota,Corolla  GLi 1.3 VVTi Special Edition,2019,1300,5,34.75
Toyota,Belta  X Business A Package 1.0,2006,1000,5,19.5
Toyota,Land Cruiser 100 Series VX Limited 4.2D,2006,4200,7,79.75
Suzuki,Wagon R  AGS,2021,1000,5,25.75
Honda,City  1.3 i-VTEC,2019,1300,5,31
Suzuki,Bolan  VX Euro II,2018,800,5,13.5
Suzuki,Mehran  VX (CNG),1990,800,4,3.5
Suzuki,Alto  VXL AGS,2020,660,4,23.25
Toyota,Vitz  F 1.0,2016,1000,5,29.9
Honda,Civic  RS,2022,1500,5,84
Peugeot,2008  Allure,2022,1200,5,
Toyota,Vitz  F 1.0,2022,1000,5,43
Suzuki,FX  GA,1985,800,5,3.2
MG,HS  1.5 Turbo,2021,1500,5,60.5
Suzuki,Hustler  G,2016,660,4,19.85
Toyota,Passo  X S ,2018,1000,5,32
Toyota,Prius  S LED Edition 1.8,2013,1800,5,37.5
Toyota,Corolla  Altis Grande 1.8,2015,1800,5,39
Honda,Civic  Oriel 1.8 i-VTEC CVT,2021,1800,5,55
Suzuki,Alto  VXR,2021,660,4,20.3
Suzuki,Cultus  EURO II,2014,1000,5,14.5
Toyota,Corolla  GLi 1.3 VVTi,2009,1300,5,16.7
Mitsubishi,Lancer  GLX 1.3,2006,1300,5,13.15
Toyota,Corolla  GLi 1.3 VVTi,2010,1300,5,17.5
Toyota,Corolla  GLi 1.3,2005,1300,5,15.1
Toyota,Prius  S 1.8,2011,1800,5,26.9
Suzuki,Ravi  Deckless,1979,540,2,3
Toyota,Prius  ,2011,1500,5,26.9
Toyota,Corolla  Altis Grande CVT-i 1.8,2019,1800,5,45.7
Toyota,Hilux  Revo V Automatic 2.8,2021,2800,5,
Nissan,Sunny  EX Saloon 1.3,2005,1300,5,14
Honda,City  1.5L CVT,2022,1500,5,42.2
Toyota,Corolla  Altis Automatic 1.6,2018,1600,5,37
Honda,Civic  VTi Automatic 1.6,2000,1600,6,11.5
Toyota,Corolla  ,2004,1500,5,12.5
KIA,Picanto  1.0 AT,2022,1000,5,29
Honda,Civic Reborn VTi Oriel Prosmatec 1.8 i-VTEC,2008,1800,5,18.2
Toyota,Corolla  SE Saloon,2005,1600,5,17
Toyota,Corolla Fielder  Hybrid G,2015,1500,5,46
Toyota,Vitz  F 1.0,2012,1000,5,22
Toyota,Yaris  ATIV X CVT 1.5,2020,1500,5,37.25
Toyota,Corolla  XLi VVTi Limited Edition,2010,1300,5,20.2
Hyundai,Tucson  FWD A/T GLS Sport,2022,2000,5,71
MG,HS  1.5 Turbo,2021,1500,5,68
Mitsubishi,Lancer  GLX 1.6,2005,1600,5,13.75
Honda,Vezel  Hybrid Z Sensing ,2014,1500,5,41
KIA,Sportage  AWD,2019,2000,5,60.5
Toyota,Yaris  ATIV CVT 1.3,2021,1300,5,35
Suzuki,Cultus  VXR,2007,1000,5,7.85
Changan,Gilgit  Base Grade,2009,800,4,5.6
Toyota,Corolla  GLi Automatic 1.6 VVTi,2010,1600,5,20
Suzuki,Alto  VXR,2022,660,4,21.25
Nissan,Pino  E,2007,660,5,15.9
Changan,Karvaan  Base Model 1.0,2021,1000,8,20
Toyota,Corolla  XLi VVTi,2011,1300,5,17.5
Toyota,C-HR  ,2018,1800,5,78.5
Toyota,Corolla  GLi 1.3 VVTi,2015,1300,5,29.75
Honda,Civic  VTi Oriel UG Prosmatec 1.6,2006,1600,6,14.5
Suzuki,Liana  LXi Sport,2008,1300,4,11.9
Toyota,Corolla  GL Saloon,1986,1500,5,6
Mercedes,Benz C Class  C200,2008,1800,5,36.5
Suzuki,Mehran  VX,2004,800,4,5.45
KIA,Stonic  EX+,2022,1400,5,48.5
Honda,Vezel  Hybrid Z Sensing ,2015,1500,5,49
Daihatsu,Mira  G SA III,2018,660,7,29.4
Toyota,Vitz  ,2012,1000,5,24.9
Suzuki,Mehran  VXR,2008,800,4,5.7
Honda,Civic Reborn VTi Oriel Prosmatec 1.8 i-VTEC,2007,1800,5,17.5
Suzuki,Cultus  VX,2007,1000,5,7.5
Changan,Alsvin  1.5L DCT Lumiere,2022,1500,5,35.5
Suzuki,Cultus  VXR,2000,1000,5,7.5
Suzuki,Alto  VXR,2022,660,4,23
Suzuki,Khyber  Plus,1996,1000,5,6.9
Toyota,Passo  X L Package,2014,1000,5,24.5
Mitsubishi,Pajero  iO,1999,1800,7,19.3
Toyota,Prius  S 1.8,2010,1800,5,37.5
Mitsubishi,Pajero  ,1999,1800,7,19.3
Suzuki,Alto  VXR,2012,1000,4,10.5
Suzuki,Baleno  JXR,2005,1300,5,8.8
Toyota,Corolla  Altis X Automatic 1.6,2021,1600,5,45.75
Suzuki,Wagon R  Hybrid FZ,2020,660,5,34.5
Toyota,Land Cruiser  ,1981,4500,7,20
Suzuki,Mehran  VXR,2008,800,4,5.8
Toyota,Vitz  F M Package 1.0,2018,1000,5,36.9
Toyota,Rav4  ,2000,2000,5,22.2
Toyota,Corolla  Altis Grande CVT-i 1.8,2014,1800,5,32.6
Suzuki,Wagon R  AGS,2022,1000,5,28.25
Suzuki,Cultus  VXL,2021,1000,5,26.1
Honda,Civic EK EXi,1998,1500,5,8.3
Toyota,Mark II  ,1974,2000,5,5.2
Nissan,Dayz Highway Star  ,2019,660,5,29.2
Suzuki,Alto  VXR (CNG),2008,1000,4,6.5
Haval,H6  ,2021,1500,6,
Mitsubishi,Galant  ,1995,2000,5,
Suzuki,Alto  VXL AGS,2022,660,4,25.25
Toyota,Aqua  Crossover,2018,1500,5,49.85
Daihatsu,Mira  X,2020,660,4,27.5
Toyota,Aqua  S,2018,1500,5,52
Suzuki,Cultus  Auto Gear Shift,2021,1000,5,30.45
Honda,City  1.2L M/T,2022,1200,5,35.49
Honda,BR-V  i-VTEC S,2022,1500,7,47
Honda,Civic  Oriel 1.8 i-VTEC CVT,2021,1800,5,53.95
Suzuki,Cultus  VXL (CNG),2004,1000,5,7.35
DFSK,Glory 580  Pro,2021,1500,7,49.2
Toyota,Corolla  XLi,2008,1300,5,16.75
Toyota,Surf  SSR-G 3.0D,1996,3000,7,31.5
Toyota,Platz  F 1.0,2004,1000,5,16.5
Toyota,Corolla  ,1990,1600,5,11.5
Toyota,Corolla  GLi 1.3 VVTi,2009,1300,5,17
Hyundai,Santro  Exec GV,2006,1000,5,8.6
Suzuki,Wagon R  VXL,2019,1000,5,20
Honda,City 5th Generation 1.5 i-VTEC Prosmatec,2017,1500,5,29.75
Toyota,Pixis Epoch  L,2014,660,4,19
Toyota,Corolla  Altis Grande CVT-i 1.8,2020,1800,5,45.8
KIA,Picanto  1.0 AT,2021,1000,5,28
Suzuki,Wagon R  Stingray J Style,2014,660,5,22.5
Honda,Civic Reborn ,2011,1800,5,27
Suzuki,Swift  GLX CVT,2022,1200,5,38.9
Suzuki,Wagon R  VXL,2018,1000,5,19.5
Suzuki,Cultus  VXR (CNG),2006,1000,5,8.1
Mitsubishi,I  G,2007,660,7,12.8
Chevrolet,Exclusive  LS 0.8,2005,800,5,5.25
Toyota,Corolla 9th Generation XLi,2006,1300,5,19
Toyota,Corolla  GLi Automatic 1.3 VVTi,2019,1300,5,35.9
Toyota,Vitz  F 1.0,2017,1000,5,24.45
Suzuki,Cultus  VXR (CNG),2007,1000,5,9.2
Toyota,Corolla  Altis Grande X CVT-i 1.8 Black Interior,2021,1800,5,56
Isuzu,D-Max  V-Cross Automatic 3.0,2022,3000,2,
Honda,City  1.5L ASPIRE CVT,2022,1500,7,44
Toyota,Prius  G LED Edition 1.8,2013,1800,5,42
Toyota,Hilux  Revo V Automatic 2.8,2018,2800,5,79.5
Toyota,Corolla  GLi 1.3 VVTi,2008,1300,5,24.5
Honda,City 5th Generation 1.3 i-VTEC,2015,1300,5,24.8
Toyota,Corolla Indus SE Limited,1997,1500,5,14.5
Honda,Vezel  Hybrid RS Sensing ,2014,1500,5,38
Suzuki,Alto  VX,2020,660,4,18.3
Toyota,Crown  RS Advance,2018,2500,5,
Suzuki,Baleno  ,2005,1300,5,7.7
Honda,City  1.5L ASPIRE CVT,2022,1500,7,
Daihatsu,Rocky  1.0 R TC,2020,1000,5,55.99
Honda,Civic Reborn VTi Oriel 1.8 i-VTEC,2007,1800,5,15.5
Suzuki,Alto  VXL AGS,2021,660,4,23.9
Toyota,Prado 90 Series TZ 3.0D,1996,3000,7,37.5
MG,HS  1.5 Turbo,2021,1500,5,65
Honda,City  Aspire Prosmatec 1.5 i-VTEC,2022,1500,5,45
Toyota,Prado  ,1990,2400,7,21
Honda,BR-V  i-VTEC S,2019,1500,7,37
Toyota,Corolla Axio  Hybrid 1.5,2017,1500,5,51
Toyota,Raize  Z,2020,1000,5,43
Toyota,Prado 120 Series TX 4.0,2005,4000,7,72
Toyota,Corolla Axio  X 1.5,2007,1500,5,26.5
Daihatsu,Move  ,2016,660,4,19.75
Toyota,Prius  S 1.8,2013,1800,5,42
Mitsubishi,Lancer  GLX SR Automatic 1.6,2004,1600,5,14.9
Toyota,Aqua  G,2016,1500,5,33.85
Suzuki,Mehran  VXR,2009,800,4,6.7
Suzuki,Alto  VXR,2022,660,4,22.4
Suzuki,Swift  DLX 1.3,2012,1300,5,15
Suzuki,Alto  VXR AGS,2022,660,4,23.3
Toyota,Corolla  Altis X Automatic 1.6,2021,1600,5,45
Suzuki,Alto  VXR,2022,660,4,21.5
Suzuki,Alto  VXR,2021,660,4,19.3
Toyota,Corolla  XLi VVTi,2015,1300,5,25.5
Toyota,Corolla  GLi 1.3 VVTi,2011,1300,5,21.5
Toyota,Corolla  DX Saloon,1983,1300,5,8.45
Toyota,Prado 120 Series TZ 3.4,2003,3400,7,80
Suzuki,Swift  DLX 1.3,2015,1300,5,18.5
Honda,Civic Reborn VTi 1.8 i-VTEC,2008,1800,5,21.75
Honda,Civic  Oriel 1.8 i-VTEC CVT,2018,1800,5,42.8
Toyota,Vitz  F 1.0,2017,1000,5,34.25
Suzuki,Mehran  VX,2005,800,4,6.5
Daihatsu,Move  ,2015,660,4,19.5
Toyota,Corolla  XLi VVTi,2010,1300,5,20.5
Suzuki,Alto  VXR,2022,660,4,21
Changan,Karvaan  ,2006,1000,8,7.3
Toyota,Yaris  ATIV X CVT 1.5,2022,1500,5,42
Suzuki,Cultus  Auto Gear Shift,2019,1000,5,26.2
KIA,Picanto  ,2022,1000,5,31
Honda,City  i-DSI Vario,2009,1300,7,19.95
Toyota,Corolla  GLi Automatic 1.3 VVTi,2019,1300,5,35
Honda,Civic  1.5 RS Turbo,2020,1500,5,59.25
Toyota,Passo  + Hana 1.0,2010,1000,5,16.85
MINI Cooper,Cooper  S,2010,1600,5,55
Suzuki,Alto  VXR,2022,660,4,22.35
Toyota,Platz  ,2006,1300,5,13.6
Toyota,Prado  TZ-G 2.8 D,1993,2800,7,28
Toyota,Vitz  B 1.0,2008,1000,5,14.3
Toyota,Aqua  S,2018,1500,5,
Daihatsu,Mira  ES,2020,660,4,27.25
Toyota,Corolla  GLi 1.3 VVTi,2014,1300,5,25.75
Suzuki,Wagon R  VXL,2019,1000,5,19.8
Suzuki,Alto  VXR,2022,660,4,22.9
Toyota,Prado 120 Series ,2005,2700,8,72
Changan,Karvaan  Base Model 1.0,2021,1000,8,21
Toyota,Prius  G LED Edition 1.8,2012,1800,5,34.5
Daihatsu,Hijet  Cruise Turbo,2012,660,4,13.2
Daihatsu,Cast  Style G SA III,2015,660,7,27.5
Toyota,Corolla  Altis Automatic 1.6,2021,1600,5,44.5
Toyota,Corolla  XLi VVTi,2009,1300,5,19
KIA,Sportage  AWD,2022,2000,5,67.5
Toyota,Corolla  XE,1995,1300,5,9
Honda,Vezel  Hybrid Z Sensing ,2018,1500,5,69.5
Toyota,Esquire  ,2015,1800,7,70
Hyundai,Santa Fe  GLS,2003,2700,5,29.75
Honda,Civic  1.8 i-VTEC CVT,2021,1800,5,47
Honda,Vezel  Hybrid Z Sensing ,2016,1500,5,57.9
Honda,Civic Reborn VTi Prosmatec 1.8 i-VTEC,2007,1800,5,16.25
Honda,City  Aspire Prosmatec 1.5 i-VTEC,2021,1500,5,42.8
Toyota,Premio  X 1.8,2005,1800,5,24.5
Toyota,Passo  G 1.0,2007,1000,5,16.5
Nissan,Note  1.2E,2017,1198,5,45
Suzuki,Cultus  EURO II,2014,1000,5,13.3
Honda,City  EXi S Automatic,2000,1500,5,11
Suzuki,Wagon R  Hybrid FZ,2018,660,5,31.25
FAW,V2  ,2020,1300,5,16.2
Toyota,Land Cruiser 80 Series ,1992,4200,7,32
Honda,Civic  MXST (Hybrid),2006,1300,5,21
Honda,Civic  VTi Prosmatec 1.6,2004,1600,6,13.5
Suzuki,Cultus  VXL (CNG),2007,1000,5,7.45
Suzuki,Swift  XG L Package 1.3,2007,1300,5,18.6
Suzuki,Wagon R  Stingray Limited,2011,660,5,19.25
Suzuki,Swift  GLX CVT,2022,1200,5,38.9
Suzuki,Mehran  VXR,2004,800,4,6
Suzuki,Wagon R  VXL,2017,1000,5,18
Suzuki,Alto  F,2019,660,4,25
Honda,City 5th Generation 1.3 i-VTEC,2015,1300,5,24.39
Toyota,Aqua  S,2017,1500,5,42.5
Suzuki,Mehran  VXR Euro II,2017,796,4,12.5
Honda,HR-V  VTi-S,2022,1500,5,
Honda,City 5th Generation 1.3 i-VTEC,2013,1300,5,21.5
Suzuki,Alto  VXR,2022,660,4,21.8
Changan,Alsvin  1.5L DCT Lumiere,2021,1500,5,33.9
Toyota,Aqua  S,2019,1500,5,51
Mitsubishi,Lancer  GL,2005,1300,5,14
Toyota,Corolla Axio  Hybrid 1.5,2015,1500,5,45
Audi,A8  4.2 FSI Quattro,2006,4200,7,
Honda,Freed  G,2012,1500,7,31.5
Honda,Civic Reborn MXB (Hybrid),2007,1300,5,26
Jeep,M 151  Standard,1988,1500,5,9.4
Toyota,Corolla  GLi 1.3 VVTi,2011,1300,5,20.95
Suzuki,Wagon R  VXR,2019,1000,5,19.5
Toyota,Corolla 9th Generation XLi,2006,1300,5,15.5
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2022,1800,5,59.5
Toyota,Hilux  Revo V Automatic 2.8,2021,2800,5,88
Toyota,Corolla  Altis Grande X CVT-i 1.8 Black Interior,2022,1800,5,61
Toyota,Corolla  Altis X Automatic 1.6 Special Edition,2022,1600,5,52.5
Honda,Civic  RS,2022,1500,5,82
Nissan,Sunny  ,1988,1000,5,3.6
MG,HS  Trophy,2022,1500,5,68.8
Toyota,Yaris  ATIV X CVT 1.5,2020,1500,5,36.5
Toyota,Yaris  ATIV X CVT 1.5,2021,1500,5,41
Daewoo,Racer  Base Grade 1.5,1993,1500,5,8
Toyota,Corolla  Altis X Automatic 1.6 Special Edition,2022,1600,5,57.5
KIA,Sportage  AWD,2020,2000,5,64
Honda,BR-V  i-VTEC S,2018,1500,7,38.5
Honda,Zest  ,2007,660,4,11.9
Toyota,Raize  Z,2021,1000,5,55
Honda,Civic Reborn VTi 1.8 i-VTEC,2008,1800,5,16.85
Toyota,Corolla  XLi VVTi,2009,1300,5,14.25
Honda,Jade  Hybrid X,2015,1496,6,41.5
Daewoo,Other  ,1993,500,,12
Toyota,Corolla  GL Saloon,1986,1500,5,8.5
Suzuki,Mehran  VXR Euro II,2015,796,4,10.6
Honda,Civic Rebirth Oriel Prosmatec UG,2014,1800,5,30.9
Honda,City 5th Generation 1.3 i-VTEC,2012,1300,5,23
Toyota,Hilux  Double Cab,1994,2400,5,23.5
Mitsubishi,Lancer  GLX SR 1.6,2006,1600,5,14
Honda,Freed  + Hybrid G Sensing,2012,1500,7,32
Toyota,Corolla  GLi 1.3 VVTi,2010,1300,5,17.7
Suzuki,Alto  S Package,2019,660,4,27.85
KIA,Sportage  AWD,2020,2000,5,65
Suzuki,Swift  GLX CVT,2022,1200,5,38.7
DFSK,Glory 580  Pro,2021,1500,7,54
Suzuki,Alto  VX,2022,660,4,20
Nissan,Kicks  XV Premium,2020,1300,5,67
Hyundai,Elantra  GLS,2022,2000,5,58
Honda,Civic  1.5 RS Turbo,2022,1500,5,79.5
Daihatsu,Cast  Sport Turbo SA III,2019,660,7,34.5
Nissan,Dayz Highway Star  ,2019,660,5,31.5
Suzuki,Alto  L,2020,660,4,27.8
Suzuki,Mehran  VX,2012,800,4,6.1
Toyota,Aqua  S,2013,1500,5,31
Daihatsu,Cuore  CL,2005,800,5,6.4
Toyota,Mark X  ,1971,1800,5,3.5
Toyota,Corolla  Altis Automatic 1.6,2019,1600,5,41.8
Suzuki,Alto  VXR,2022,660,4,19.86
Honda,City 5th Generation 1.3 i-VTEC,2016,1300,5,26.9
Toyota,Corolla  XLi VVTi,2009,1300,5,15.9
Hyundai,Tucson  AWD A/T Ultimate,2022,2000,5,77.5
Honda,BR-V  i-VTEC S,2020,1500,7,40
Isuzu,NKR  ,2013,3000,2,40
Suzuki,Mehran  VXR,1989,800,4,2.5
Suzuki,Alto  VX,2021,660,4,20.5
Toyota,Corolla  XLi VVTi,2011,1300,5,18
Nissan,Moco  X,2014,660,4,22
Hyundai,Tucson  AWD A/T Ultimate,2021,2000,5,64
Honda,Civic Reborn VTi 1.8 i-VTEC,2011,1800,5,19
Honda,Life  Comfort Special,2008,660,4,12.99
Changan,Alsvin  1.5L DCT Lumiere,2021,1500,5,34.5
Toyota,Corolla Fielder  X,2007,1500,5,23.75
